Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles
TMS|25637994|2020-07-30|HTN|TXLP|DRYDRAUGHT|HOUSTON|TX|77029|LAPORTE|TX|77571|23
TMS|25673385|2020-07-30|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25675931|2020-07-30|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25675946|2020-07-30|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25675948|2020-07-30|HTN|21703|DRY|HOUSTON|TX|77029|ALEXANDRIA|LA|71302|234
TMS|25675959|2020-07-30|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207
TMS|25675960|2020-07-30|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207
TMS|25675961|2020-07-30|HTN|64230|DRY|HOUSTON|TX|77029|COMMERCE|TX|75428|274
TMS|25675963|2020-07-30|HTN|31712|DRY|HOUSTON|TX|77029|BATON ROUGE|LA|70809|268
TMS|25675965|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25675966|2020-07-30|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207
TMS|25675967|2020-07-30|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25675968|2020-07-30|HTN|31712|DRY|HOUSTON|TX|77029|BATON ROUGE|LA|70809|268
TMS|25675969|2020-07-30|HTN|81774|DRY|HOUSTON|TX|77029|SHREVEPORT|LA|71106|236
TMS|25675970|2020-07-30|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25675972|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25675973|2020-07-30|HTN|54294|DRY|HOUSTON|TX|77029|VICTORIA|TX|77901|124
TMS|25675974|2020-07-30|HTN|21703|DRY|HOUSTON|TX|77029|ALEXANDRIA|LA|71302|234
TMS|25675975|2020-07-30|HTN|81774|DRY|HOUSTON|TX|77029|SHREVEPORT|LA|71106|236
TMS|25675976|2020-07-30|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25675977|2020-07-30|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25675979|2020-07-30|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25675982|2020-07-30|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25675984|2020-07-30|HTN|81774|DRY|HOUSTON|TX|77029|SHREVEPORT|LA|71106|236
TMS|25675985|2020-07-30|HTN|31712|DRY|HOUSTON|TX|77029|BATON ROUGE|LA|70809|268
TMS|25675986|2020-07-30|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25675987|2020-07-30|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25675988|2020-07-30|HTN|94224|DRY|HOUSTON|TX|77029|ROSENBERG|TX|77471|32
TMS|25675991|2020-07-30|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25675992|2020-07-30|HTN|94213|DRY|HOUSTON|TX|77029|MONT BELVIEU|TX|77523|32
TMS|25675993|2020-07-30|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25675994|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25675995|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25676000|2020-07-30|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25676001|2020-07-30|HTN|94262|DRY|HOUSTON|TX|77029|HOUSTON (CYPRESS)|TX|77041|19
TMS|25676002|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25676003|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25676004|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25676005|2020-07-30|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25676006|2020-07-30|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25676007|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25676008|2020-07-30|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25676011|2020-07-30|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207
TMS|25676015|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25676016|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25676017|2020-07-30|HTN|94224|DRY|HOUSTON|TX|77029|ROSENBERG|TX|77471|32
TMS|25676018|2020-07-30|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25676019|2020-07-30|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25676020|2020-07-30|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25676022|2020-07-30|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25676023|2020-07-30|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25676025|2020-07-30|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25676026|2020-07-30|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163
TMS|25676029|2020-07-30|HTN|94262|DRY|HOUSTON|TX|77029|HOUSTON (CYPRESS)|TX|77041|19
TMS|25676030|2020-07-30|HTN|31712|DRY|HOUSTON|TX|77029|BATON ROUGE|LA|70809|268
TMS|25676032|2020-07-30|HTN|94213|DRY|HOUSTON|TX|77029|MONT BELVIEU|TX|77523|32
TMS|25676033|2020-07-30|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25676034|2020-07-30|HTN|84245|DRY|HOUSTON|TX|77029|LONGVIEW|TX|75601|207
TMS|25676035|2020-07-30|HTN|41732|DRY|HOUSTON|TX|77029|LAFAYETTE|LA|70501|218
TMS|25676036|2020-07-30|HTN|94224|DRY|HOUSTON|TX|77029|ROSENBERG|TX|77471|32
TMS|25676037|2020-07-30|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25676039|2020-07-30|HTN|94216|DRY|HOUSTON|TX|77029|CONROE|TX|77301|41
TMS|25676040|2020-07-30|HTN|94216|DRY|HOUSTON|TX|77029|CONROE|TX|77301|41
TMS|25676041|2020-07-30|HTN|94262|DRY|HOUSTON|TX|77029|HOUSTON (CYPRESS)|TX|77041|19
